Month_Day,2023,2024,2025,2026,2027
09-13,15000.000000000815,995967.0,2126695.000000001,1262482.0,556929.0000000002
09-14,1007290.9999999999,1334077.0,324008.99999999965,1850005.0000000005,1198180.0
09-15,572486.0000000002,701882.0,2621862.000000001,1389161.0000000002,1198180.0
09-16,505107.00000000035,924059.0,985410.0,414254.99999999977,1198180.0
09-17,1545055.9999999995,513578.9999999999,985410.0,1001102.0,1697515.9999999998
09-18,1697821.9999999995,129517.99999999988,441024.99999999965,1001102.0,1198180.0
09-19,563507.0000000002,908119.0,985410.0,825056.9999999999,1759495.9999999995
09-20,1030555.9999999999,384293.9999999999,985410.0,1243506.0,1562430.9999999998
09-21,477958.00000000035,979495.0,1321452.0000000002,2961713.000000001,938942.0
09-22,316352.00000000047,709874.0,2122983.000000001,621986.9999999998,1198180.0
09-23,1030555.9999999999,853624.0,414339.99999999965,1001102.0,1198180.0
09-24,870680.0,1282206.0,92742.99999999942,347055.99999999965,1502600.9999999998
09-25,3198048.999999998,61919.99999999988,1417076.0000000005,611148.9999999998,496917.00000000023
09-26,1030555.9999999999,995967.0,985410.0,1853309.0000000005,1198180.0
09-27,1030555.9999999999,1877253.0,145318.9999999993,1001102.0,2449696.999999999
09-28,936499.9999999999,111976.99999999988,345466.99999999965,1336377.0000000002,1198180.0
09-29,2420665.9999999986,690574.0,1895615.0000000005,2205453.000000001,1372960.9999999998
09-30,38000.000000000815,1077076.0,25001.9999999993,1001102.0,1198180.0
10-01,1378524.9999999995,995967.0,462706.99999999965,1001102.0,2576139.999999999
10-02,1030555.9999999999,995967.0,618866.9999999998,2051000.0000000005,1177883.0
10-03,448986.00000000035,32530.999999999884,2932800.0000000014,396126.99999999965,1198180.0
10-04,2719553.9999999986,500885.9999999999,397538.99999999965,1001102.0,1347520.9999999998
10-05,1030555.9999999999,1727793.0,266168.99999999953,1001102.0,887222.0
10-06,1030555.9999999999,534194.0,219159.99999999942,140491.99999999953,1198180.0
10-07,1799337.9999999993,336086.9999999999,985410.0,1113275.0,253239.00000000035
10-08,92929.00000000047,577379.9999999999,496804.99999999965,2554997.000000001,399892.00000000035
10-09,754418.0,995967.0,985410.0,1001102.0,1301112.9999999998
10-10,406531.00000000035,995967.0,1655854.0000000005,1001102.0,1040320.0
10-11,1030555.9999999999,995967.0,502112.9999999997,1901362.0000000005,3164531.999999999
10-12,1545984.9999999995,1263175.0,390884.99999999965,187609.99999999965,1198180.0
10-13,1030555.9999999999,900885.0,638238.9999999998,190400.99999999953,1198180.0
10-14,959611.9999999999,2801771.0,1334916.0000000005,1294739.0,1198180.0
10-15,1030555.9999999999,995967.0,29999.9999999993,1001102.0,1198180.0
10-16,2902542.999999998,995967.0,1465541.0000000005,117894.99999999953,1720178.9999999995
10-17,1030555.9999999999,995967.0,985410.0,1685168.0000000005,789497.0000000001
10-18,372810.00000000035,1764841.0,89607.9999999993,964895.0,1352001.9999999998
10-19,467978.00000000035,995967.0,1856334.0000000005,1270703.0,1968599.9999999995
10-20,1030555.9999999999,337364.9999999999,985410.0,1001102.0,1198180.0
10-21,727386.0,1232607.0,1384924.0000000005,1520478.0000000002,472053.00000000035
10-22,1231809.9999999998,1442428.0,985410.0,109160.99999999965,323999.00000000035
10-23,1882106.999999999,154998.99999999988,81765.99999999942,702052.9999999998,692504.0000000001
10-24,1030555.9999999999,995967.0,985410.0,1206527.0,2678246.999999999
10-25,1030555.9999999999,1220440.0,985410.0,1001102.0,1764541.9999999995
10-26,630233.0000000002,23999.999999999884,2728328.000000001,1607445.0000000005,1198180.0
10-27,1489302.9999999995,984841.0,1390039.0000000005,1432875.0000000002,1198180.0
10-28,1030555.9999999999,1331615.0,985410.0,28319.999999999534,49881.00000000023
10-29,2345778.9999999986,1242249.0,40032.99999999942,1001102.0,1048859.0
10-30,1590005.9999999995,69450.0,985410.0,496913.99999999977,2158820.9999999995
10-31,1030555.9999999999,995967.0,167758.99999999953,2622446.000000001,1198180.0
11-01,1030555.9999999999,1317508.0,985410.0,1163870.0,2776195.999999999
11-02,1030555.9999999999,911443.0,1779630.0000000007,555544.9999999998,1068819.0
11-03,597719.0000000002,1549416.0,110236.99999999942,1001102.0,1198180.0
11-04,1030555.9999999999,995967.0,985410.0,1001102.0,549580.0000000001
11-05,685638.0000000002,995967.0,856184.0,2894443.000000001,515414.00000000023
11-06,1084751.9999999998,1895321.0,289130.99999999953,749746.9999999999,749205.0000000001
11-07,476374.00000000035,249074.99999999988,301668.99999999953,1140349.0,1198180.0
11-08,53000.00000000058,23999.999999999884,1826925.0000000005,215713.99999999965,1877498.9999999995
11-09,1823827.9999999993,313453.9999999999,985410.0,548945.9999999998,631011.0000000001
11-10,776127.0000000001,798181.0,985410.0,737999.9999999999,735571.0000000001
11-11,669810.0000000002,1769135.0,1303282.0000000002,1001102.0,127226.00000000023
11-12,45000.000000000815,65554.0,345698.99999999965,999768.0,263172.00000000035
11-13,1030555.9999999999,1443565.0,1195712.0000000002,392750.99999999965,1321623.9999999998
11-14,1030555.9999999999,31000.0,136144.99999999942,400149.99999999965,186143.00000000023
